Symbol,Name,Industry,IndustryCode
RICK,RCI Hospitality Holdings Inc,호텔 및 엔터테인먼트,533010
VOR,Vor Biopharma Inc,생명과학 및 메디컬 리서치,562020
VITL,Vital Farms Inc,식품 및 약품소매,543010
FNCH,Finch Therapeutics Group Inc,생명과학 및 메디컬 리서치,562020
TBPH,Theravance Biopharma Inc,제약,562010
GTHX,G1 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
PYR,Pyrogenesis Canada Inc,전문 및 상업 서비스,522030
AIP,Arteris Inc,소프트웨어 및 IT서비스,572010
MCBS,Metrocity Bankshares Inc,은행,551010
PECO,Phillips Edison & Co Inc,주택 및 상업용 리츠,601020
COLL,Collegium Pharmaceutical Inc,제약,562010
VFF,Village Farms International Inc,식품 및 담배,541020
RMBL,RumbleOn Inc Class B,소프트웨어 및 IT서비스,572010
IMXI,International Money Express Inc,전문 및 상업 서비스,522030
ATOM,Atomera Inc,반도체 및 반도체 장비,571010
TKNO,Alpha Teknova Inc,헬스케어 장비 및 용품,561010
CPRX,Catalyst Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
RMNI,Rimini Street Inc,소프트웨어 및 IT서비스,572010
EM,Smart Share Global Ltd ADR,"컴퓨터, 전화 및 가전제품",571060
ANIK,Anika Therapeutics Inc,제약,562010
ICLK,iClick Interactive Asia Group Ltd ADR,미디어 및 출판,533020
TRMD,Torm PLC Class A,오일 및 가스 장비 및 서비스,501030
YORW,York Water Co,수도 유틸리티,591030
ATRS,Antares Pharma Inc,헬스케어 장비 및 용품,561010
HCKT,Hackett Group Inc,전문 및 상업 서비스,522030
SIFY,Sify Technologies Ltd ADR,통신 서비스,574010
BMRC,Bank of Marin Bancorp,은행,551010
CASS,Cass Information Systems Inc,전문 및 상업 서비스,522030
PETS,Petmed Express Inc,식품 및 약품소매,543010
CSWC,Capital Southwest Corp,투자은행 및 서비스,551020
EVLO,Evelo Biosciences Inc,생명과학 및 메디컬 리서치,562020
MCRB,Seres Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ORIC,Oric Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ANIP,ANI Pharmaceuticals Inc,제약,562010
THRX,Theseus Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
LVOXU,LiveVox Holding Units,소프트웨어 및 IT서비스,572010
KPTI,Karyopharm Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ALRS,Alerus Financial Corp,은행,551010
PLRX,Pliant Therapeutics Inc,제약,562010
RSVR,Reservoir Media Inc,미디어 및 출판,533020
AMOT,Allied Motion Technologies Inc,"건설장비 및 대형차, 기차, 배",521020
AGCUU,Altimeter Growth Units,기타 금융업,556010
PRQR,ProQR Therapeutics NV,생명과학 및 메디컬 리서치,562020
LILA,Liberty Latin America Ltd Class A,통신 서비스,574010
CHW,Calamos Global Dynamic Income Fund,다양한 금융서비스,555010
WIFI,Boingo Wireless Inc,통신 서비스,574010
AROW,Arrow Financial Corp,은행,551010
IIVIP,II-VI Inc Convertible Preference Shares Series A,전자 장비 및 부품,571040
LMACU,Liberty Media Acquisition Units,기타 금융업,556010
RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,562020
CFIV,CF Acquisition IV Corp Class A,기타 금융업,556010
INVZ,Innoviz Technologies Ltd,반도체 및 반도체 장비,571010
BHFAN,Brighthouse Financial Inc ADR,보험,553010
GAN,Gan Ltd,소프트웨어 및 IT서비스,572010
RGP,Resources Connection Inc,전문 및 상업 서비스,522030
SVFAU,SVF Investment Units,기타 금융업,556010
BTWNU,Bridgetown Hldg Units,기타 금융업,556010
ETACU,E Merge Technology Acquisition Units,기타 금융업,556010
CHSCO,CHS Inc PRF,식품 및 담배,541020
DIBS,1stdibs.Com Inc,소프트웨어 및 IT서비스,572010
BBSI,Barrett Business Services Inc,전문 및 상업 서비스,522030
SFT,Shift Technologies Inc Class A,전문품 상점,534030
KOPN,Kopin Corp,반도체 및 반도체 장비,571010
LCA,Landcadia Holdings IV Inc Class A,기타 금융업,556010
NYXH,Nyxoah SA,헬스케어 장비 및 용품,561010
BTBT,Bit Digital Inc,핀테크,573010
FRPH,FRP Holdings Inc,부동산 운영 관리,601010
CHSCL,CHS Inc PRF,식품 및 담배,541020
SWIR,Sierra Wireless Inc,커뮤니케이션 및 네트워킹,571020
AVDL,Avadel Pharmaceuticals PLC ADR,제약,562010
NAKD,Naked Brand Group Ltd,섬유 및 의류,532020
EOSE,Eos Energy Enterprises Inc Class A,"건설장비 및 대형차, 기차, 배",521020
ABOS,Acumen Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
PHAR,Pharming Group NV ADR,제약,562010
DSKE,Daseke Inc,화물 및 물류 서비스,524050
XONE,ExOne Co,"건설장비 및 대형차, 기차, 배",521020
INAQ,Insu Acquisition Corp II Class A,기타 금융업,556010
RBNC,Reliant Bancorp Inc,은행,551010
ANNX,Annexon Inc,제약,562010
VIACP,ViacomCBS Inc Convertible Preference Shares Series A,미디어 및 출판,533020
BLBD,Blue Bird Corp,"건설장비 및 대형차, 기차, 배",521020
BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,562020
CYT,Cyteir Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ACBI,Atlantic Capital Bancshares Inc,은행,551010
HIIIU,Hudson Executive Investment III Unit,기타 금융업,556010
FCBC,First Community Bankshares Inc,은행,551010
SPNE,SeaSpine Holdings Corp,헬스케어 장비 및 용품,561010
TSHA,Taysha Gene Therapies Inc,생명과학 및 메디컬 리서치,562020
RMGC,RMG Acquisition Corp III Class A,기타 금융업,556010
NKTX,Nkarta Inc,생명과학 및 메디컬 리서치,562020
ATHA,Athira Pharma Inc,생명과학 및 메디컬 리서치,562020
ALBO,Albireo Pharma Inc,생명과학 및 메디컬 리서치,562020
MSDAU,MSD Acquisition Units,기타 금융업,556010
AGNCP,AGNC Investment Corp ADR,주택 및 상업용 리츠,601020
AMAL,Amalgamated Bank,은행,551010
THFF,First Financial Corp,은행,551010
DTIL,Precision BioSciences Inc,생명과학 및 메디컬 리서치,562020
AERI,Aerie Pharmaceuticals Inc,제약,562010
SCOAU,ScION Tech Growth I Units,기타 금융업,556010
LABP,Landos Biopharma Inc,생명과학 및 메디컬 리서치,562020
CMLTU,CM Life Sciences III Units,기타 금융업,556010
ULH,Universal Logistics Holdings Inc,화물 및 물류 서비스,524050
MBWM,Mercantile Bank Corp,은행,551010
MYPS,Playstudios Inc Class A,소프트웨어 및 IT서비스,572010
CRIS,Curis Inc,생명과학 및 메디컬 리서치,562020
ABST,Absolute Software Corp,소프트웨어 및 IT서비스,572010
CLVS,Clovis Oncology Inc,생명과학 및 메디컬 리서치,562020
ISO,IsoPlexis Corp,헬스케어 장비 및 용품,561010
MSBI,Midland States Bancorp Inc,은행,551010
ICPT,Intercept Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
TARS,Tarsus Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MOLN,Molecular Partners AG ADR,생명과학 및 메디컬 리서치,562020
AADI,Aadi Bioscience Inc,생명과학 및 메디컬 리서치,562020
LGACU,Lazard Growth Acquisition Units,기타 금융업,556010
XLO,Xilio Therapeutics Inc,생명과학 및 메디컬 리서치,562020
SLAMU,Slam Units,기타 금융업,556010
AXGN,AxoGen Inc,헬스케어 장비 및 용품,561010
TALK,Talkspace Inc,헬스케어 업체 및 서비스,561020
BFST,Business First Bancshares Inc,은행,551010
LOCO,El Pollo Loco Holdings Inc,호텔 및 엔터테인먼트,533010
GTPB,Gores Technology Partners II Inc Class A,기타 금융업,556010
INKT,Mink Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BOWX,BowX Acquisition Corp Class A,기타 금융업,556010
CGEN,Compugen Ltd,생명과학 및 메디컬 리서치,562020
BFC,Bank First Corp,은행,551010
SPRO,Spero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
REVH,Revolution Healthcare Acquisition Corp Class A,기타 금융업,556010
XPDI,Power & Digital Infrastructure Acquisition Corp Class A,기타 금융업,556010
WPRT,Westport Fuel Systems Inc,자동차 및 자동차 부품,531010
GMII,Gores Metropoulos II Inc Class A,기타 금융업,556010
EQBK,Equity Bancshares Inc Class A,은행,551010
ALLT,Allot Ltd,호텔 및 엔터테인먼트,533010
NDLS,Noodles & Co Class A,호텔 및 엔터테인먼트,533010
UFCS,United Fire Group Inc,보험,553010
YELL,Yellow Corp,화물 및 물류 서비스,524050
WTBA,West Bancorporation Inc,은행,551010
CCAP,Crescent Capital BDC Inc,다양한 금융서비스,555010
QIWI,Qiwi PLC ADR,전문 및 상업 서비스,522030
